-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  -54.8107   Longitude -68.3147 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2021,321,99.12,157.09,3.63,0.16,1.9,4.63,3.01,4.68,1.67,4.03,78.5,3.71,96.19,7.32,9.94,3.38,6.56,256.0
2021,322,89.63,158.5,4.76,1.0,2.88,5.59,5.74,7.37,1.62,4.27,77.25,1.4,96.64,6.7,7.7,4.95,2.74,267.94
2021,323,101.48,158.11,6.05,1.64,3.85,6.68,7.35,9.03,1.68,4.52,74.0,1.02,95.67,8.48,10.68,6.71,3.97,266.25
2021,324,85.85,158.66,2.67,-1.46,0.6,3.86,3.53,4.5,0.97,3.6,74.75,3.5,95.48,10.03,12.24,7.34,4.91,254.75
2021,325,105.39,160.31,1.65,-2.16,-0.25,3.19,4.19,3.88,-0.31,3.36,76.44,4.48,96.42,7.52,8.79,5.86,2.94,246.06
2021,326,102.16,160.53,1.67,-2.38,-0.35,3.11,4.9,3.98,-0.92,3.3,74.94,2.6,97.09,7.16,9.59,1.81,7.77,232.25
2021,327,72.35,162.55,3.55,1.07,2.3,4.15,7.36,7.15,-0.21,4.33,83.94,3.49,96.14,4.46,6.51,0.94,5.57,182.19
2021,328,114.16,162.52,6.01,2.13,4.07,6.36,6.91,9.37,2.45,4.64,77.25,0.75,96.33,4.85,7.37,1.34,6.03,270.19
2021,329,103.81,163.53,5.43,1.47,3.45,6.08,7.35,9.28,1.93,4.39,76.62,0.96,96.61,3.74,6.84,1.37,5.47,284.62
2021,330,67.91,164.8,5.39,1.55,3.47,5.78,8.72,9.46,0.73,4.39,77.25,0.7,96.96,5.15,7.65,2.67,4.98,304.12
2021,331,127.93,165.05,6.62,1.73,4.18,7.32,9.37,10.69,1.33,4.46,72.75,0.63,97.21,4.74,7.57,3.23,4.34,292.0
2021,332,104.62,165.53,6.87,2.6,4.73,7.17,6.1,9.95,3.85,4.82,75.5,1.19,95.54,7.23,9.41,4.83,4.59,306.06
2021,333,98.23,165.2,4.85,0.44,2.65,5.76,4.27,6.77,2.51,4.09,73.88,0.94,96.02,8.37,11.02,3.05,7.98,264.38
2021,334,100.46,167.59,8.19,4.18,6.19,8.51,9.98,12.65,2.67,5.37,76.81,0.61,96.51,3.84,5.46,2.28,3.18,315.06
2021,335,123.69,168.62,7.65,3.11,5.37,8.22,7.67,11.3,3.62,4.94,74.75,1.39,96.43,3.54,5.75,1.48,4.27,293.69
2021,336,97.78,168.79,6.86,2.64,4.75,7.35,7.25,10.08,2.83,4.76,75.31,1.19,97.22,5.62,7.67,2.94,4.74,283.94
2021,337,99.05,167.99,7.54,2.81,5.18,8.12,7.64,11.62,3.98,4.82,72.81,0.38,97.13,6.79,8.98,4.05,4.92,299.75
2021,338,115.41,169.58,7.48,1.3,4.39,8.22,7.91,11.44,3.52,4.33,66.12,0.08,97.04,5.77,7.37,3.78,3.59,287.69
2021,339,121.61,170.18,6.48,1.62,4.05,7.0,6.59,9.23,2.64,4.39,72.31,0.98,97.5,6.62,9.02,3.82,5.2,274.38
2021,340,53.54,170.68,6.22,3.43,4.82,6.34,9.53,11.44,1.9,5.07,82.5,4.2,96.8,6.17,9.5,2.11,7.39,316.19
2021,341,124.08,171.51,4.5,-0.05,2.23,5.43,5.76,6.55,0.8,3.91,73.06,0.66,97.26,7.25,9.26,2.65,6.61,259.06
2021,342,128.48,172.64,7.75,2.06,4.9,8.05,12.62,13.17,0.56,4.52,69.25,0.0,98.51,4.95,7.06,2.33,4.73,326.12
2021,343,152.01,172.11,9.81,5.44,7.62,10.08,8.11,13.7,5.59,5.74,75.38,0.05,97.76,4.24,5.95,1.88,4.09,288.69
2021,344,127.46,172.23,8.51,5.24,6.87,9.26,6.79,11.86,5.07,5.68,80.69,1.26,97.76,2.2,2.98,1.34,1.65,230.62
2021,345,131.46,168.4,10.96,6.7,8.83,11.45,10.03,15.56,5.53,6.35,76.56,0.45,96.95,1.4,2.42,0.23,2.19,214.88
2021,346,106.24,173.95,5.25,1.79,3.52,6.69,7.02,8.58,1.55,4.58,79.19,1.5,96.07,6.48,9.7,1.58,8.12,233.0
2021,347,103.88,174.38,4.06,0.55,2.3,5.17,6.1,7.63,1.54,4.09,78.62,2.26,97.01,4.82,6.19,2.27,3.91,258.25
2021,348,130.75,175.12,6.85,2.66,4.76,7.71,9.27,10.92,1.65,4.76,75.88,0.24,97.16,6.13,8.4,2.56,5.83,272.38
2021,349,110.7,174.92,6.71,3.77,5.24,7.41,6.52,9.94,3.43,5.19,81.62,0.74,96.64,7.52,10.2,5.05,5.15,262.88
2021,350,129.94,175.17,5.66,1.25,3.45,6.98,7.11,9.6,2.5,4.33,74.44,3.33,97.47,6.12,9.59,0.76,8.83,259.62
2021,351,98.0,175.96,9.3,6.36,7.83,9.72,8.52,13.23,4.72,6.1,82.44,0.44,98.15,1.73,2.69,0.76,1.93,274.38
2021,352,166.4,173.62,11.55,7.61,9.58,11.99,10.75,16.69,5.94,6.71,77.75,0.27,97.71,3.2,6.33,1.12,5.21,288.88
2021,353,121.52,175.38,4.35,0.08,2.22,5.83,4.43,6.9,2.48,3.97,74.38,2.04,97.12,7.88,10.45,5.9,4.55,252.75
2021,354,107.86,174.85,6.74,3.4,5.07,7.54,6.9,10.23,3.33,5.07,79.5,1.32,96.2,9.35,10.77,6.66,4.11,264.12
2021,355,127.31,175.71,6.83,4.14,5.48,7.47,5.62,9.78,4.15,5.31,83.12,0.49,96.52,8.8,10.52,6.71,3.8,253.62
2021,356,146.23,174.35,9.25,5.17,7.21,9.89,8.34,13.03,4.69,5.68,76.38,0.13,97.43,6.77,8.49,5.8,2.7,265.75
2021,357,108.73,175.2,9.26,5.75,7.5,9.53,7.06,12.75,5.68,5.98,78.94,0.33,97.08,4.35,6.11,2.55,3.56,279.31
2021,358,123.54,175.24,10.53,6.63,8.58,10.62,5.12,13.0,7.88,6.29,77.19,0.22,96.72,5.02,6.61,3.47,3.15,287.38
2021,359,119.48,173.22,9.12,4.5,6.8,9.62,6.43,12.12,5.69,5.43,73.69,0.11,96.52,5.4,7.43,2.69,4.74,289.38
2021,360,148.55,174.61,9.34,3.6,6.48,9.92,6.88,12.06,5.18,5.13,68.38,0.12,96.25,6.24,8.64,1.63,7.01,291.5
2021,361,114.05,174.39,6.1,2.46,4.28,7.1,4.91,8.2,3.28,4.76,77.94,3.14,96.16,5.52,8.69,1.18,7.51,262.06
2021,362,114.07,172.4,7.51,2.39,4.95,8.55,7.8,10.85,3.05,4.7,71.31,0.76,96.97,4.29,6.14,2.5,3.64,209.56
2021,363,104.88,174.61,7.42,3.52,5.48,8.08,6.2,10.58,4.38,5.19,77.12,3.99,95.63,6.11,8.62,3.3,5.31,222.25
2021,364,100.89,174.91,8.58,4.11,6.34,8.94,6.77,11.64,4.87,5.37,74.19,1.55,95.74,5.09,6.66,2.27,4.39,308.81
2021,365,126.88,173.26,5.98,2.76,4.37,6.81,3.92,7.41,3.49,4.94,80.19,5.54,94.95,3.79,5.75,2.64,3.12,285.69
2022,1,53.06,173.68,7.11,3.52,5.32,7.44,7.97,11.0,3.03,5.25,78.44,3.93,94.03,6.05,9.32,1.97,7.35,239.0
2022,2,117.71,173.32,3.99,-0.66,1.66,5.55,4.88,6.58,1.7,3.85,72.56,0.95,94.48,9.87,12.12,7.2,4.92,257.69
2022,3,130.62,173.03,4.49,-0.72,1.89,6.33,6.36,8.07,1.71,3.78,70.5,0.8,95.35,6.21,7.3,4.55,2.76,244.12
2022,4,113.98,170.3,4.33,0.05,2.19,5.87,4.59,6.8,2.21,3.97,74.81,1.39,96.67,5.62,7.66,1.8,5.85,249.38
2022,5,148.79,172.23,7.52,3.12,5.32,8.37,8.52,11.32,2.8,4.94,75.0,0.91,96.57,5.95,8.85,1.66,7.19,275.81
2022,6,111.38,170.99,7.68,4.1,5.89,8.12,7.84,12.03,4.19,5.31,78.81,2.58,96.86,5.18,8.55,1.39,7.16,234.75
2022,7,81.57,168.59,8.04,4.43,6.23,8.41,6.62,10.76,4.13,5.43,79.06,2.58,96.71,4.22,6.62,2.3,4.33,238.0
2022,8,125.52,169.88,7.82,3.28,5.55,8.51,5.21,9.83,4.62,5.0,73.94,0.51,96.21,7.39,11.13,2.75,8.38,269.75
2022,9,96.12,169.71,5.94,1.23,3.58,7.07,5.7,8.84,3.15,4.33,73.12,0.86,96.69,5.53,7.33,3.13,4.2,282.06
2022,10,108.05,168.59,6.15,1.61,3.87,7.08,5.8,8.9,3.1,4.52,73.69,4.61,94.89,9.72,12.1,7.64,4.46,272.94
2022,11,113.55,167.55,4.76,0.65,2.71,5.92,4.7,7.21,2.51,4.15,75.56,1.92,96.11,7.75,10.84,2.28,8.56,265.0
2022,12,127.49,167.54,6.56,1.8,4.19,7.44,5.62,8.87,3.24,4.58,72.94,0.67,96.14,7.32,10.02,3.41,6.62,276.06
2022,13,109.83,166.57,6.41,1.58,3.99,7.1,7.86,10.19,2.32,4.39,72.69,0.9,96.73,4.34,5.95,2.55,3.39,285.5
2022,14,117.3,164.91,4.76,0.55,2.65,5.94,6.0,7.47,1.47,4.09,75.12,1.24,96.95,3.01,4.56,0.55,4.02,238.38
2022,15,43.93,163.76,5.57,4.24,4.9,6.23,4.95,7.8,2.85,5.37,91.12,20.89,96.11,4.2,7.7,1.62,6.07,66.44
2022,16,105.87,163.64,3.49,0.06,1.77,5.27,4.11,5.65,1.55,3.91,79.19,4.84,97.69,6.38,7.83,3.52,4.31,181.88
2022,17,110.73,161.68,5.42,1.63,3.53,6.73,7.15,8.69,1.54,4.39,77.62,0.78,98.15,5.63,6.67,3.41,3.26,246.5
2022,18,92.9,160.45,8.11,6.25,7.18,8.53,7.2,11.59,4.39,6.04,88.31,1.06,98.07,6.41,8.3,4.09,4.21,246.44
2022,19,140.29,160.84,7.86,3.61,5.73,8.8,8.16,12.13,3.98,5.0,76.0,0.54,98.68,3.62,4.95,1.42,3.53,244.5
2022,20,156.6,160.04,12.48,7.33,9.9,11.97,14.24,18.76,4.52,6.59,72.94,0.0,97.78,2.1,3.57,0.29,3.28,267.25
2022,21,113.11,156.2,12.69,9.75,11.22,12.41,12.66,19.23,6.58,7.87,83.0,4.88,96.33,1.91,3.09,0.64,2.44,232.06
2022,22,84.63,159.87,10.81,5.78,8.3,11.45,7.54,15.05,7.51,5.98,73.06,1.9,96.09,1.58,2.8,0.32,2.47,188.88
2022,23,100.24,157.98,9.24,5.26,7.25,10.4,9.15,13.69,4.55,5.8,77.5,2.32,95.58,2.62,6.15,0.82,5.33,237.31
2022,24,96.11,155.87,6.82,2.98,4.9,8.01,7.52,11.28,3.76,4.94,77.31,1.71,95.82,7.49,9.74,5.91,3.84,260.75
2022,25,89.55,155.56,4.99,2.15,3.58,6.4,3.95,7.23,3.28,4.58,82.31,3.79,97.11,7.35,8.41,5.57,2.84,234.0
2022,26,83.34,155.84,7.01,5.19,6.09,7.48,6.13,9.58,3.45,5.68,88.12,2.51,97.94,6.21,7.34,4.13,3.2,260.0
2022,27,78.96,152.78,6.83,4.26,5.55,7.86,3.7,9.0,5.3,5.25,84.06,1.15,97.98,4.97,6.53,1.29,5.23,242.31
2022,28,109.03,150.5,10.77,7.1,8.94,10.79,9.73,14.98,5.24,6.47,79.12,0.36,97.32,1.6,2.46,0.06,2.4,270.0
2022,29,61.51,152.06,9.93,7.06,8.5,9.84,7.98,13.49,5.51,6.53,82.56,8.26,96.33,3.0,4.23,1.97,2.26,276.69
2022,30,105.84,150.36,5.95,2.3,4.12,7.11,4.09,8.19,4.11,4.64,78.19,1.43,96.49,6.41,8.59,3.77,4.83,241.38
2022,31,85.69,149.27,6.32,2.97,4.65,7.17,3.87,8.35,4.48,4.94,79.62,3.34,95.28,6.85,8.55,5.11,3.45,258.25
2022,32,85.89,147.62,4.92,1.76,3.34,6.08,4.77,7.23,2.46,4.58,80.5,5.02,95.35,8.82,10.78,6.09,4.69,251.62
2022,33,94.49,146.95,3.75,-0.95,1.4,5.38,5.04,6.79,1.75,3.66,72.31,1.03,96.57,5.77,6.95,4.0,2.94,243.0
2022,34,96.77,146.23,4.82,0.01,2.42,6.22,6.89,8.62,1.73,3.91,72.19,0.45,97.69,4.66,6.23,2.84,3.41,238.0
2022,35,135.98,144.38,7.17,2.86,5.01,7.79,11.12,12.55,1.43,4.82,75.19,0.07,98.39,3.0,4.53,0.45,4.09,227.06
2022,36,78.42,144.12,8.16,4.52,6.34,8.18,9.95,13.94,3.98,5.43,78.56,0.27,97.59,5.21,7.73,2.35,5.38,301.38
2022,37,62.65,143.09,10.68,7.92,9.3,10.29,13.27,15.94,2.68,7.02,83.94,0.88,97.66,3.34,5.4,1.51,3.89,326.19
2022,38,61.72,141.02,14.03,10.56,12.3,13.17,9.71,19.05,9.34,8.24,80.81,3.51,96.53,3.77,4.52,2.71,1.81,261.81
2022,39,104.01,139.63,8.52,4.94,6.73,8.89,4.82,10.66,5.84,5.68,79.31,4.58,96.69,3.94,6.17,1.12,5.05,222.56
2022,40,84.08,138.37,7.56,3.15,5.36,8.23,5.81,10.44,4.62,5.0,74.69,1.91,96.02,6.61,8.48,4.6,3.89,228.0
2022,41,79.55,137.62,6.26,3.68,4.98,7.22,4.48,8.48,4.0,5.13,83.69,2.78,96.83,5.73,7.28,4.05,3.23,259.88
2022,42,76.91,136.17,7.58,5.53,6.55,7.86,5.69,9.64,3.95,5.86,86.88,4.23,97.0,5.8,11.55,3.21,8.34,276.94
2022,43,108.55,133.97,5.61,1.32,3.46,6.87,3.92,7.6,3.68,4.33,74.56,1.5,96.84,9.03,12.2,1.7,10.5,264.44
2022,44,77.05,133.88,5.67,2.22,3.94,6.5,8.65,9.8,1.15,4.76,79.06,2.67,96.11,9.7,15.43,3.16,12.26,267.88
2022,45,62.65,131.48,6.59,1.93,4.26,7.12,9.77,11.06,1.3,4.58,74.44,1.37,96.26,5.23,7.57,2.82,4.75,315.31
2022,46,87.67,130.35,5.76,1.1,3.43,6.71,6.65,9.1,2.45,4.33,73.31,0.69,95.85,5.72,7.64,3.86,3.78,279.75
2022,47,60.53,129.15,5.68,2.58,4.12,6.17,6.68,8.72,2.04,4.82,80.56,2.55,96.61,6.35,8.32,3.91,4.41,299.38
2022,48,84.81,127.45,9.91,5.69,7.8,9.86,6.79,12.55,5.76,5.92,75.5,0.23,96.31,7.74,9.53,3.89,5.65,280.19
2022,49,71.31,127.73,5.08,1.09,3.08,6.37,6.92,8.38,1.46,4.27,76.25,0.48,97.32,4.29,5.45,2.95,2.5,238.25
2022,50,79.48,125.38,3.94,-1.13,1.4,5.53,7.07,7.85,0.78,3.54,70.81,0.26,98.87,3.12,3.93,1.59,2.34,208.94
2022,51,107.59,122.88,5.8,-0.88,2.47,6.56,9.91,10.52,0.62,3.6,64.0,0.0,99.51,1.9,2.62,1.03,1.59,255.88
2022,52,98.52,121.28,10.27,6.68,8.48,10.19,11.19,15.42,4.23,6.23,79.44,0.49,98.88,4.9,6.12,2.57,3.55,290.31
2022,53,74.52,120.92,7.23,4.69,5.97,7.91,6.52,9.45,2.93,5.49,84.31,0.88,98.17,4.38,5.78,2.98,2.8,244.38
2022,54,92.34,118.37,8.08,4.64,6.37,8.86,10.78,13.05,2.27,5.55,80.0,0.09,97.79,2.29,4.86,1.16,3.7,299.0
2022,55,73.51,116.39,10.62,7.94,9.28,10.51,6.98,14.77,7.78,6.9,84.38,0.15,96.72,3.46,6.22,0.98,5.23,299.62
2022,56,69.94,116.16,8.49,5.19,6.84,8.61,7.43,12.33,4.9,5.74,80.62,0.74,96.31,3.34,5.17,1.23,3.95,297.12
2022,57,74.45,114.48,7.55,2.95,5.25,8.08,8.25,11.69,3.45,4.88,74.19,0.2,95.99,2.93,4.48,1.38,3.09,315.75
2022,58,81.32,112.67,6.03,0.9,3.47,7.12,5.7,8.59,2.89,4.33,72.0,0.47,95.22,1.44,2.37,0.26,2.11,262.56
2022,59,78.41,110.89,4.89,0.94,2.91,6.25,4.77,7.46,2.69,4.27,76.75,0.8,95.94,3.95,5.71,1.3,4.41,198.06
2022,60,70.48,111.05,4.5,3.42,3.96,5.57,3.22,5.86,2.64,5.13,92.69,10.31,95.45,3.78,6.79,0.32,6.47,171.0
2022,61,46.0,108.66,6.85,4.15,5.5,7.23,6.66,10.55,3.9,5.31,83.69,0.5,96.5,3.86,5.34,1.12,4.22,291.25
2022,62,79.33,107.84,8.51,5.24,6.88,8.72,7.73,12.15,4.42,5.8,81.69,3.36,95.59,3.44,5.58,1.57,4.01,232.56
2022,63,54.17,105.45,6.65,4.32,5.48,7.55,7.01,10.33,3.33,5.43,86.0,2.6,95.34,3.09,4.22,2.38,1.84,281.69
2022,64,67.57,104.73,4.62,2.65,3.63,5.79,5.34,7.48,2.14,4.82,87.38,1.32,96.03,4.56,6.46,3.15,3.31,251.94
2022,65,64.17,102.85,2.43,0.56,1.49,4.3,4.21,4.48,0.26,4.09,87.62,2.82,96.7,2.56,3.11,1.61,1.5,213.44
2022,66,67.85,101.43,5.19,1.02,3.11,5.76,9.73,10.04,0.31,4.27,75.81,0.11,96.78,2.8,5.53,0.78,4.75,238.56
2022,67,22.91,99.56,8.73,7.19,7.96,8.85,7.22,12.82,5.6,6.59,90.38,5.57,95.86,5.49,7.76,0.91,6.85,56.75
2022,68,69.06,98.78,6.39,4.26,5.32,7.14,4.73,8.87,4.14,5.37,87.06,5.11,96.94,4.3,5.79,2.18,3.61,214.5
2022,69,86.7,96.46,6.41,1.37,3.89,7.44,6.34,9.95,3.62,4.33,72.44,0.4,98.16,3.38,5.71,0.57,5.15,195.94
2022,70,78.35,95.89,6.65,1.69,4.17,7.18,7.86,9.45,1.59,4.52,73.25,3.08,98.0,3.97,5.67,2.13,3.54,252.12
2022,71,45.06,93.62,6.05,3.36,4.7,6.33,8.09,9.47,1.37,5.0,83.31,1.93,97.61,4.52,6.09,2.75,3.34,299.5
2022,72,53.05,93.27,5.51,2.23,3.87,6.17,4.5,7.44,2.94,4.7,80.25,5.42,95.86,9.72,13.23,7.2,6.03,274.19
2022,73,51.1,91.55,3.96,1.53,2.74,4.92,4.31,6.24,1.93,4.39,84.69,6.72,96.53,5.83,8.43,1.7,6.72,272.31
2022,74,38.11,89.45,4.87,3.59,4.23,5.7,5.65,7.87,2.23,5.19,91.62,7.37,95.62,2.4,4.13,1.34,2.79,252.25
2022,75,41.09,88.02,1.95,-0.8,0.58,3.8,4.2,4.34,0.13,3.72,82.62,1.33,96.21,3.32,4.71,2.16,2.55,194.12
2022,76,50.95,87.25,1.43,-0.66,0.38,2.7,3.05,3.37,0.31,3.72,86.0,3.17,97.34,4.2,7.01,2.31,4.7,237.31
2022,77,54.25,85.94,1.75,-1.48,0.14,2.83,4.88,4.55,-0.34,3.48,79.69,1.45,98.57,4.12,6.41,1.77,4.65,228.62
2022,78,59.91,84.5,4.31,0.58,2.45,4.9,10.0,9.08,-0.92,4.09,77.88,0.01,98.41,4.15,6.06,1.94,4.12,332.0
2022,79,54.09,83.26,7.62,4.88,6.25,7.65,9.45,13.33,3.88,5.62,84.31,0.02,96.97,4.04,5.88,1.61,4.27,318.0
2022,80,32.05,81.19,6.58,3.95,5.27,6.52,8.01,10.8,2.79,5.31,83.56,0.64,95.83,5.91,7.87,3.41,4.45,311.56
2022,81,49.57,80.3,6.74,3.4,5.07,6.67,7.46,9.83,2.37,5.13,80.12,0.71,95.23,5.22,7.16,2.94,4.23,288.0
2022,82,52.55,79.02,4.28,-0.08,2.1,5.26,7.65,8.37,0.73,3.91,75.38,0.2,97.1,3.59,6.47,1.03,5.44,237.5
2022,83,58.12,77.43,6.08,2.75,4.41,6.38,5.91,8.98,3.08,4.76,80.25,0.62,97.16,5.41,7.18,2.85,4.33,300.62
2022,84,34.77,75.09,8.29,5.85,7.07,8.03,5.39,11.01,5.61,5.98,84.94,1.47,96.86,5.7,6.52,3.63,2.89,328.31
2022,85,20.62,74.76,8.9,6.81,7.86,8.48,10.46,12.78,2.32,6.47,87.25,6.97,95.69,3.34,6.7,0.34,6.36,311.06
2022,86,45.23,73.09,4.94,2.65,3.8,5.37,5.46,8.12,2.66,4.82,85.81,0.95,95.3,3.37,6.05,1.66,4.38,294.25
2022,87,61.23,71.45,4.09,1.38,2.74,4.8,5.77,7.53,1.76,4.39,83.81,0.9,95.76,2.82,5.37,1.65,3.72,255.19
2022,88,45.49,69.74,3.82,1.72,2.76,4.72,4.59,6.09,1.51,4.46,86.44,1.68,97.56,6.08,7.16,5.18,1.97,227.06
2022,89,38.34,68.05,5.68,3.69,4.69,6.06,4.4,8.36,3.96,5.13,87.44,3.26,97.51,4.33,5.77,3.04,2.73,291.94
2022,90,56.24,67.34,6.23,2.84,4.53,6.41,4.16,8.44,4.28,4.82,79.62,1.41,96.76,7.02,8.26,4.97,3.28,288.94
2022,91,33.44,66.62,4.62,1.81,3.22,4.71,6.93,7.46,0.53,4.52,82.75,0.67,96.46,4.02,5.95,2.02,3.91,288.06
2022,92,23.89,65.18,1.26,0.76,1.01,2.01,3.3,2.94,-0.36,4.21,96.12,4.64,96.05,2.44,4.69,1.51,3.18,236.0
2022,93,35.1,63.95,3.52,0.89,2.21,3.98,3.28,5.2,1.92,4.27,83.19,1.27,95.33,6.27,7.84,5.24,2.6,291.88
2022,94,37.5,62.66,1.96,-0.56,0.7,2.95,1.94,3.1,1.16,3.85,83.56,2.63,95.21,6.38,7.04,5.56,1.48,274.69
2022,95,38.48,61.31,1.74,-0.13,0.8,2.76,2.96,3.65,0.69,3.91,87.5,3.73,96.38,6.62,8.3,4.62,3.68,238.25
2022,96,45.77,59.91,1.53,-0.69,0.42,2.48,3.2,3.37,0.17,3.72,85.38,0.93,97.67,5.12,6.88,3.06,3.82,236.44
2022,97,51.26,58.68,2.57,-0.56,1.01,2.67,5.62,5.72,0.09,3.72,80.38,0.12,98.24,2.08,2.95,0.48,2.48,246.75
2022,98,45.16,57.54,3.55,1.73,2.64,3.59,9.15,8.55,-0.6,4.46,87.81,0.0,97.91,2.79,4.16,1.76,2.41,269.69
2022,99,43.39,56.38,5.26,3.82,4.54,5.34,8.77,10.48,1.71,5.19,90.62,0.19,97.22,3.12,4.7,2.0,2.7,291.56
2022,100,38.18,55.27,3.43,1.36,2.4,3.9,3.9,5.52,1.62,4.33,86.75,3.05,96.96,3.52,5.03,2.02,3.02,284.62
2022,101,37.33,53.77,3.62,1.76,2.69,4.13,4.77,6.61,1.83,4.52,87.94,1.09,96.52,3.17,6.31,1.27,5.05,284.81
2022,102,30.09,53.14,4.01,1.36,2.69,4.4,6.04,7.27,1.23,4.39,83.06,0.86,95.79,7.36,9.21,6.47,2.74,274.56
2022,103,30.6,50.84,5.56,3.09,4.33,5.54,9.32,10.33,1.01,5.07,84.06,0.77,96.23,7.09,9.7,4.59,5.12,274.06
2022,104,40.25,50.58,5.91,2.7,4.31,5.58,6.43,9.02,2.59,4.82,80.69,0.12,96.55,5.88,8.42,2.24,6.17,284.38
2022,105,30.25,49.2,4.33,3.36,3.85,4.34,8.32,9.62,1.29,5.07,91.94,0.85,96.79,3.59,5.86,2.05,3.81,286.56
2022,106,37.81,48.2,2.86,-0.16,1.35,3.26,4.32,5.57,1.25,3.85,81.06,0.48,98.41,3.53,5.4,0.97,4.43,209.12
2022,107,14.66,47.27,6.13,5.15,5.64,6.12,7.1,9.55,2.44,5.68,93.44,9.54,97.1,4.45,6.45,1.42,5.02,158.44
2022,108,32.37,45.73,4.62,3.12,3.87,4.51,5.99,7.42,1.43,4.94,90.25,0.08,96.88,3.32,5.45,1.92,3.52,225.81
2022,109,31.38,44.84,6.05,4.27,5.16,6.08,6.48,9.38,2.9,5.37,89.06,1.31,96.01,4.05,6.07,2.19,3.88,208.5
2022,110,21.5,44.16,4.08,2.82,3.45,4.06,5.8,7.33,1.53,4.88,91.5,0.72,95.77,4.59,6.47,2.79,3.67,305.56
2022,111,22.9,43.2,2.18,0.73,1.45,2.69,3.84,4.56,0.72,4.15,90.44,1.03,96.22,3.51,5.47,1.96,3.51,258.31
2022,112,21.51,42.17,2.4,1.87,2.14,2.55,4.55,4.92,0.37,4.58,95.75,0.32,95.59,2.93,4.71,1.98,2.73,307.31
2022,113,19.02,40.91,3.55,2.55,3.05,4.14,3.7,5.97,2.26,4.82,93.38,0.48,94.87,3.16,4.15,2.47,1.67,27.94
2022,114,20.94,40.3,2.34,1.35,1.85,2.02,2.6,3.77,1.17,4.39,93.12,0.5,95.04,1.8,2.66,0.27,2.39,54.31
2022,115,23.9,39.19,2.57,1.82,2.19,2.35,3.71,4.37,0.65,4.58,94.81,0.76,95.15,2.07,3.61,0.85,2.77,214.75
2022,116,22.2,37.55,1.95,0.54,1.25,2.25,3.53,3.95,0.43,4.15,90.44,1.93,95.72,2.46,4.42,0.91,3.52,210.5
2022,117,25.0,37.02,0.19,-1.56,-0.68,1.29,2.22,1.09,-1.13,3.54,88.12,3.77,96.68,6.72,8.73,4.41,4.32,197.62
2022,118,23.73,36.16,1.98,0.65,1.32,2.62,4.64,3.87,-0.77,4.15,90.88,1.18,97.49,6.39,7.79,4.89,2.89,239.31
2022,119,24.36,35.5,2.11,1.23,1.67,2.57,2.66,3.33,0.67,4.27,94.0,1.07,98.09,4.08,5.88,1.77,4.11,242.69
2022,120,29.45,34.35,1.8,0.29,1.05,2.08,4.38,4.73,0.35,3.97,90.06,0.18,97.91,2.29,5.09,0.6,4.48,284.81
2022,121,21.06,33.88,2.45,1.86,2.15,2.48,6.21,5.94,-0.27,4.46,95.5,0.82,97.63,3.69,5.3,1.81,3.49,311.88
2022,122,16.48,32.77,3.19,1.19,2.19,3.3,5.63,6.08,0.45,4.33,87.06,0.36,96.44,6.15,8.23,3.57,4.66,306.06
2022,123,14.62,31.9,3.58,1.73,2.65,3.8,3.77,5.44,1.66,4.58,88.0,1.34,94.77,6.89,9.09,4.99,4.1,304.94
